TradingDate,TradingPeriod,Benmore,Haywards,Otahuhu
1/01/2019,1,179.73,181.7,187.27
1/01/2019,2,160.22,162.04,166.72
1/01/2019,3,179.75,181.48,186.31
1/01/2019,4,162.04,163.62,168
1/01/2019,5,150.63,152.12,156.14
1/01/2019,6,145.64,147.09,150.88
1/01/2019,7,133.66,134.91,138.41
1/01/2019,8,123.79,124.89,128.13
1/01/2019,9,133.9,135.07,138.58
1/01/2019,10,134.71,135.9,139.81
1/01/2019,11,135.02,136.38,140.1
1/01/2019,12,133.16,134.5,138.15
1/01/2019,13,138.83,140.22,144.04
1/01/2019,14,107.9,109.02,113.61
1/01/2019,15,86.02,88.85,93.75
1/01/2019,16,85.64,88.46,94.14
1/01/2019,17,72.12,74.87,80.65
1/01/2019,18,75,79.45,86.71
1/01/2019,19,86.3,91.42,99.1
1/01/2019,20,134.58,142.56,154.84
1/01/2019,21,140.04,148.34,163.64
1/01/2019,22,140.04,148.34,163.76
1/01/2019,23,140.55,148.88,164.45
1/01/2019,24,140.04,148.34,163.85
1/01/2019,25,139.87,148.16,163.6
1/01/2019,26,125.46,132.9,146.16
1/01/2019,27,112.95,117.31,126.34
1/01/2019,28,111.75,116.06,126.12
1/01/2019,29,111.74,116.05,126.12
1/01/2019,30,111.75,116.06,126.12
1/01/2019,31,124.66,129.46,140.74
1/01/2019,32,118.9,123.49,134.24
1/01/2019,33,119.53,124.14,136.87
1/01/2019,34,118.99,123.58,135.56
1/01/2019,35,107.25,111.33,123.43
1/01/2019,36,125.49,130.32,143.33
1/01/2019,37,118.53,123.01,131.75
1/01/2019,38,138.52,143.93,156.74
1/01/2019,39,124.93,129.74,141.51
1/01/2019,40,114.61,118.37,130.5
1/01/2019,41,134.32,138.73,153.59
1/01/2019,42,124.4,128.49,142.01
1/01/2019,43,135.6,140.82,157.24
1/01/2019,44,115.29,119.08,129.09
1/01/2019,45,114.63,118.4,127.47
1/01/2019,46,82.07,82.85,88.1
1/01/2019,47,113.05,113.9,120.33
1/01/2019,48,81.23,81.84,85.27
2/01/2019,1,71.92,72.46,75.97
2/01/2019,2,69.03,69.54,72.91
2/01/2019,3,87.21,78.07,80.91
2/01/2019,4,87.35,86.74,89.81
2/01/2019,5,93.05,80.49,83.42
2/01/2019,6,93,80.49,83.42
2/01/2019,7,93.25,78.13,80.91
2/01/2019,8,122.22,94.37,97.63
2/01/2019,9,122.22,96.89,99.92
2/01/2019,10,122.31,92.51,95.38
2/01/2019,11,113.34,97.82,101.33
2/01/2019,12,79.81,80.41,83.34
2/01/2019,13,67.36,67.96,73.1
2/01/2019,14,67.07,67.65,72.82
2/01/2019,15,59.41,59.94,65.06
2/01/2019,16,60,60.54,65.54
2/01/2019,17,75.03,77.49,86.12
2/01/2019,18,78.34,80.91,88.2
2/01/2019,19,91,93.99,102.41
2/01/2019,20,108.75,112.32,123.67
2/01/2019,21,101.38,104.71,114.67
2/01/2019,22,92.42,95.45,104.53
2/01/2019,23,103.54,106.94,117.17
2/01/2019,24,79.01,79.83,87.37
2/01/2019,25,90,90.91,99.49
2/01/2019,26,79.25,80.07,86.81
2/01/2019,27,81.29,82.12,89.29
2/01/2019,28,88,88.89,96.26
2/01/2019,29,88,88.84,96.55
2/01/2019,30,109.15,110.22,118.86
2/01/2019,31,110.19,111.27,121.11
2/01/2019,32,115.66,116.79,127.08
2/01/2019,33,115.15,116.27,127.27
2/01/2019,34,124.21,125.41,137.48
2/01/2019,35,134.53,138.95,153.06
2/01/2019,36,136.62,141.11,156.76
2/01/2019,37,130.5,134.79,149.68
2/01/2019,38,140.27,144.88,160.89
2/01/2019,39,128.51,132.73,144.63
2/01/2019,40,139.1,140.42,152.8
2/01/2019,41,112.24,113.07,119.93
2/01/2019,42,113.24,114.08,125.18
2/01/2019,43,144.32,145.72,164.66
2/01/2019,44,146.15,147.56,163.77
2/01/2019,45,128.75,129.71,139.51
2/01/2019,46,89,84.6,88.6
2/01/2019,47,104.85,112.12,116.6
2/01/2019,48,121.01,90.02,93.52
3/01/2019,1,121.45,70.45,73.16
3/01/2019,2,103.88,70.23,72.91
3/01/2019,3,121.86,131.86,135.3
3/01/2019,4,103.89,114.18,116.9
3/01/2019,5,72.19,77.18,79.61
3/01/2019,6,72.19,77.18,79.61
3/01/2019,7,71.93,76.92,79.62
3/01/2019,8,72.17,77.16,79.61
3/01/2019,9,80.03,87.35,90.12
3/01/2019,10,76.94,84.29,86.87
3/01/2019,11,121.26,128.23,132.16
3/01/2019,12,79.98,87.3,90.04
3/01/2019,13,58,69.84,73.19
3/01/2019,14,70.23,70.75,75.41
3/01/2019,15,79.1,79.94,87.25
3/01/2019,16,71.18,73.52,80.32
3/01/2019,17,84.4,87.17,96.15
3/01/2019,18,102,105.35,116.9
3/01/2019,19,100.46,104.26,116.61
3/01/2019,20,116.71,121.29,137.94
3/01/2019,21,104.05,107.99,120.76
3/01/2019,22,95.05,98.17,109.78
3/01/2019,23,83,85.73,95.91
3/01/2019,24,90.29,93.25,104.33
3/01/2019,25,81.75,84.44,94.39
3/01/2019,26,88,90.89,101.45
3/01/2019,27,90.56,93.53,104.42
3/01/2019,28,99.44,102.71,114.18
3/01/2019,29,99.62,102.89,114.33
3/01/2019,30,99.4,102.67,114.14
3/01/2019,31,111.7,115.93,130.73
3/01/2019,32,109.71,114.19,129.77
3/01/2019,33,104.43,108.39,123.17
3/01/2019,34,98.38,102.44,116.46
3/01/2019,35,97.53,101.55,116.09
3/01/2019,36,112.61,117.19,131.5
3/01/2019,37,116.09,119.91,134.44
3/01/2019,38,132.51,137.84,154.62
3/01/2019,39,113.8,117.54,131.49
3/01/2019,40,113.37,117.09,130.89
3/01/2019,41,132.45,136.8,152.83
3/01/2019,42,124.29,128.38,143.42
3/01/2019,43,141.68,146.33,160.43
3/01/2019,44,136.79,138.13,153.46
3/01/2019,45,114.1,115.24,126.31
3/01/2019,46,79.46,80.3,87.55
3/01/2019,47,79.55,80.15,85.01
3/01/2019,48,82.92,83.55,87.14
4/01/2019,1,124.57,125.65,130.75
4/01/2019,2,124.41,125.35,130.33
4/01/2019,3,138.56,139.59,144.3
4/01/2019,4,124.04,123.27,127.17
4/01/2019,5,83.68,84.3,87.06
4/01/2019,6,83.43,84.05,86.92
4/01/2019,7,83.43,84.05,86.92
4/01/2019,8,80.07,80.67,83.7
4/01/2019,9,80.06,80.66,83.71
4/01/2019,10,74.62,75.17,77.76
4/01/2019,11,76.12,81.23,83.94
4/01/2019,12,128.48,129.53,134.49
4/01/2019,13,83.05,83.86,87.55
4/01/2019,14,108.16,109.18,116.1
4/01/2019,15,85.37,88.17,96.91
4/01/2019,16,82.9,86.09,93.86
4/01/2019,17,116.38,121.23,133.03
4/01/2019,18,114.36,121.14,135.31
4/01/2019,19,115.87,122.74,136.89
4/01/2019,20,112.69,119.37,133.07
4/01/2019,21,111.8,116.13,129.53
4/01/2019,22,111.7,116.03,129.4
4/01/2019,23,115.96,120.45,133.99
4/01/2019,24,113.42,117.81,130.78
4/01/2019,25,134.25,139.43,154.43
4/01/2019,26,116.45,120.96,133.73
4/01/2019,27,116.25,120.75,132.93
4/01/2019,28,110.68,114.97,126.5
4/01/2019,29,111.46,115.78,127.22
4/01/2019,30,110.55,114.83,126.4
4/01/2019,31,111.47,115.78,127.51
4/01/2019,32,124.68,129.54,143.19
4/01/2019,33,133.74,141.67,156.94
4/01/2019,34,139.1,147.34,164.45
4/01/2019,35,137.07,145.2,162.68
4/01/2019,36,137.78,145.94,163.19
4/01/2019,37,134.85,142.84,158.67
4/01/2019,38,139.48,147.75,163.74
4/01/2019,39,145,153.6,168.83
4/01/2019,40,145,153.6,169.95
4/01/2019,41,133.79,141.72,156.59
4/01/2019,42,145,150.64,164.17
4/01/2019,43,187.75,194.99,212.33
4/01/2019,44,190,197.24,212.52
4/01/2019,45,148.36,154.07,164.64
4/01/2019,46,148.34,153.21,163.72
4/01/2019,47,148.92,150.29,157.63
4/01/2019,48,144.39,145.72,150.55
5/01/2019,1,147.48,148.83,153.65
5/01/2019,2,147.48,148.83,153
5/01/2019,3,152.33,153.56,157.6
5/01/2019,4,151.98,153.38,157.42
5/01/2019,5,147.62,148.98,152.9
5/01/2019,6,147.62,148.97,152.85
5/01/2019,7,139.2,140.47,144.17
5/01/2019,8,134.37,135.46,139.01
5/01/2019,9,124.73,125.67,128.96
5/01/2019,10,134.49,135.59,138.98
5/01/2019,11,147.48,148.83,153.41
5/01/2019,12,148.66,150.03,156.1
5/01/2019,13,141.87,146.53,153.48
5/01/2019,14,147.56,152.4,160.46
5/01/2019,15,156.12,162.03,175.14
5/01/2019,16,152.53,157.54,170.13
5/01/2019,17,127.59,131.78,140.41
5/01/2019,18,140.44,145.85,160.04
5/01/2019,19,116.44,120.85,132.5
5/01/2019,20,116.89,120.73,133.02
5/01/2019,21,121.51,125.5,138.28
5/01/2019,22,133.85,138.25,152.52
5/01/2019,23,127.49,131.68,145.34
5/01/2019,24,109.87,113.48,125.51
5/01/2019,25,107.56,108.61,120.05
5/01/2019,26,114.66,115.77,127.47
5/01/2019,27,116.76,117.89,128.38
5/01/2019,28,127.29,128.24,138.61
5/01/2019,29,130.85,131.83,141.36
5/01/2019,30,130.98,131.95,141.58
5/01/2019,31,128.41,129.37,141.72
5/01/2019,32,134.97,136.03,149.02
5/01/2019,33,134.92,136.21,150.12
5/01/2019,34,127.55,128.77,142.44
5/01/2019,35,134.57,135.85,149.29
5/01/2019,36,140.56,141.9,156.02
5/01/2019,37,133.19,134.42,147.59
5/01/2019,38,145,146.4,159.93
5/01/2019,39,137.27,138.54,150.65
5/01/2019,40,141.65,142.96,154.55
5/01/2019,41,131.99,133.21,143.78
5/01/2019,42,129,130.2,139.69
5/01/2019,43,139.17,140.45,152.46
5/01/2019,44,151.03,152.4,164.2
5/01/2019,45,132.46,133.44,141.91
5/01/2019,46,138.44,139.48,147.19
5/01/2019,47,132.02,109.77,114.81
5/01/2019,48,128.85,85.73,90.09
6/01/2019,1,81.12,96.55,100.38
6/01/2019,2,89.4,94.25,97.94
6/01/2019,3,110.25,109.31,113.24
6/01/2019,4,125.6,130.14,134.86
6/01/2019,5,90.41,95.24,98.7
6/01/2019,6,93.59,95.84,99.33
6/01/2019,7,92.31,94.54,98
6/01/2019,8,92.26,94.5,97.73
6/01/2019,9,89.42,88.66,91.65
6/01/2019,10,89.57,88.91,91.92
6/01/2019,11,89.7,94.54,97.88
6/01/2019,12,80,84.93,87.95
6/01/2019,13,90.16,62.37,65.12
6/01/2019,14,89.48,82.17,86.62
6/01/2019,15,89.17,88.72,92.83
6/01/2019,16,87.67,88.32,95.5
6/01/2019,17,90.24,91.38,97.05
6/01/2019,18,117.95,119.12,126.87
6/01/2019,19,114.49,115.63,125.46
6/01/2019,20,126.6,127.85,139.71
6/01/2019,21,126.57,127.82,139.76
6/01/2019,22,126.47,127.72,139.76
6/01/2019,23,126.55,127.79,139.83
6/01/2019,24,126.64,127.88,139.82
6/01/2019,25,127.15,128.4,139.64
6/01/2019,26,128.26,129.37,139.42
6/01/2019,27,131.46,132.74,143.72
6/01/2019,28,127.38,128.63,139.03
6/01/2019,29,127.31,128.56,139.2
6/01/2019,30,134.31,135.73,147.49
6/01/2019,31,136.44,137.87,149.91
6/01/2019,32,137.85,139.29,152.74
6/01/2019,33,135.59,137.01,150.32
6/01/2019,34,136.76,141.25,156.91
6/01/2019,35,140.62,145.24,160.62
6/01/2019,36,140.22,144.82,161.09
6/01/2019,37,149.71,154.63,172
6/01/2019,38,203.97,210.67,234.22
6/01/2019,39,204.55,211.27,232.82
6/01/2019,40,203.43,211.4,232.83
6/01/2019,41,139.04,143.61,156.3
6/01/2019,42,133.01,137.38,149.99
6/01/2019,43,128.48,132.7,145.73
6/01/2019,44,117.43,121.29,132.82
6/01/2019,45,88.44,91.35,98.53
6/01/2019,46,115.03,118.8,126.81
6/01/2019,47,135.44,139.89,148.87
6/01/2019,48,114.81,115.93,123.04
7/01/2019,1,134.81,136.1,145.82
7/01/2019,2,89.72,90.62,96.53
7/01/2019,3,80,80.72,84.99
7/01/2019,4,80,80.6,84.12
7/01/2019,5,80,80.6,84.11
7/01/2019,6,80,80.44,84.46
7/01/2019,7,80,80.7,84.77
7/01/2019,8,91.9,92.69,96.89
7/01/2019,9,134.59,135.76,142.78
7/01/2019,10,138.76,143.49,151.33
7/01/2019,11,144.65,149.4,157.41
7/01/2019,12,138.7,143.26,151.74
7/01/2019,13,139.34,144.79,153.15
7/01/2019,14,139.14,144.59,154.83
7/01/2019,15,139.11,147.41,160.6
7/01/2019,16,156.27,167.37,192.27
7/01/2019,17,152.29,163.05,187.03
7/01/2019,18,175.43,187.64,215.2
7/01/2019,19,190.04,203.21,234.66
7/01/2019,20,170.95,185.84,215.65
7/01/2019,21,145.39,155.5,180.34
7/01/2019,22,135.32,144.76,166.93
7/01/2019,23,139.61,149.33,172.22
7/01/2019,24,254.55,280.35,337.81
7/01/2019,25,225,248.56,299.72
7/01/2019,26,196.07,209.9,243.65
7/01/2019,27,155.27,166.3,193.19
7/01/2019,28,131.96,141.41,164.62
7/01/2019,29,158.04,171.8,200.32
7/01/2019,30,158.23,172.01,200.57
7/01/2019,31,164.32,178.63,208.69
7/01/2019,32,171.33,186.25,217.23
7/01/2019,33,139.8,151.98,177.63
7/01/2019,34,140.15,152.36,177.86
7/01/2019,35,151.13,164.29,192.08
7/01/2019,36,157.74,171.48,200.16
7/01/2019,37,132.3,141.72,165.01
7/01/2019,38,132,141.4,164.23
7/01/2019,39,129.74,139.02,160.2
7/01/2019,40,120.18,128.8,147.91
7/01/2019,41,124.54,131.94,149.62
7/01/2019,42,124.33,131.76,149.37
7/01/2019,43,135.51,145.15,165.73
7/01/2019,44,137.9,146.07,162.25
7/01/2019,45,130.3,135.57,148.05
7/01/2019,46,129.91,135.16,146.35
7/01/2019,47,147.33,152.17,163.61
7/01/2019,48,140.62,142.09,149.57
8/01/2019,1,134.41,135.67,143.93
8/01/2019,2,121.55,122.7,126.89
8/01/2019,3,119.7,120.75,126.83
8/01/2019,4,130,131.08,137.2
8/01/2019,5,126.92,127.87,131.89
8/01/2019,6,125.93,126.9,130.89
8/01/2019,7,122.9,123.82,127.66
8/01/2019,8,127.09,128.04,132.02
8/01/2019,9,128.42,129.38,133.46
8/01/2019,10,130,130.97,135.12
8/01/2019,11,129.48,130.6,139.08
8/01/2019,12,131.63,135.95,144.85
8/01/2019,13,130,131.13,137.85
8/01/2019,14,137.43,141.95,149.7
8/01/2019,15,149.91,155.7,165.06
8/01/2019,16,155.55,161.55,174.99
8/01/2019,17,154.95,164.14,183.39
8/01/2019,18,210.41,222.99,254.69
8/01/2019,19,175,187.01,213.43
8/01/2019,20,169,180.61,205.98
8/01/2019,21,164.9,176.22,204.37
8/01/2019,22,165.35,176.7,204.8
8/01/2019,23,169,180.6,209.96
8/01/2019,24,162.54,173.71,201.7
8/01/2019,25,163.84,175.1,203.02
8/01/2019,26,162.51,173.66,200.22
8/01/2019,27,158,168.85,193.15
8/01/2019,28,164.38,175.67,202.69
8/01/2019,29,160.43,171.45,196.05
8/01/2019,30,169,179.47,206.87
8/01/2019,31,169,179.45,206.98
8/01/2019,32,162,173.13,199.75
8/01/2019,33,157.03,166.34,190.24
8/01/2019,34,161.7,171.3,195.92
8/01/2019,35,162,173.12,198.43
8/01/2019,36,174,185.94,211.39
8/01/2019,37,169.87,181.53,201.18
8/01/2019,38,169.93,181.59,201.24
8/01/2019,39,162,171.6,187.11
8/01/2019,40,152.69,161.75,175.82
8/01/2019,41,138.45,146.65,159.28
8/01/2019,42,141.56,146.93,158.56
8/01/2019,43,160.94,170.48,184.65
8/01/2019,44,158,164,175.96
8/01/2019,45,160.22,166.39,178.45
8/01/2019,46,158.4,164.51,176.36
8/01/2019,47,135.15,140.29,148.76
8/01/2019,48,131,135.3,141.34
9/01/2019,1,104,105,109.25
9/01/2019,2,84.15,84.99,88
9/01/2019,3,77.51,78.19,80.6
9/01/2019,4,104,104.81,106.66
9/01/2019,5,104,104.81,106.66
9/01/2019,6,104,104.81,107.59
9/01/2019,7,104,104.81,107.61
9/01/2019,8,104,104.81,107.61
9/01/2019,9,104,104.81,107.61
9/01/2019,10,104,104.93,108.01
9/01/2019,11,79.02,79.73,82.8
9/01/2019,12,104,107.42,112.94
9/01/2019,13,140,144.6,150.99
9/01/2019,14,140,145.31,153.64
9/01/2019,15,140,147.08,156.02
9/01/2019,16,140,148.32,161.4
9/01/2019,17,147.33,156.18,170.14
9/01/2019,18,157.64,168.47,187.23
9/01/2019,19,154.56,165.19,184.66
9/01/2019,20,148.54,157.38,175.42
9/01/2019,21,156.45,167.2,186.51
9/01/2019,22,158.09,168.96,188.95
9/01/2019,23,159.7,170.75,194.75
9/01/2019,24,168.23,179.8,206.31
9/01/2019,25,172.61,184.48,211.68
9/01/2019,26,159.7,170.68,195.85
9/01/2019,27,170.98,182.73,208.02
9/01/2019,28,150.84,159.78,177.99
9/01/2019,29,160.99,170.65,195.16
9/01/2019,30,162.8,172.45,196.6
9/01/2019,31,162.8,168.98,192.85
9/01/2019,32,165.38,171.66,195.82
9/01/2019,33,161.8,167.94,186.79
9/01/2019,34,161.8,167.94,186.8
9/01/2019,35,159.66,165.72,183.73
9/01/2019,36,154.16,160.01,176.9
9/01/2019,37,146,151.54,165.74
9/01/2019,38,149.5,155.17,168.67
9/01/2019,39,149.85,155.54,169.16
9/01/2019,40,141.16,146.61,158.67
9/01/2019,41,143.33,148.77,161.24
9/01/2019,42,144.88,150.45,163.28
9/01/2019,43,176.37,183.06,198.21
9/01/2019,44,177.68,184.42,199.97
9/01/2019,45,177.44,184.18,199.02
9/01/2019,46,140.11,144.72,153.95
9/01/2019,47,142.44,147.12,156.66
9/01/2019,48,126.78,127.87,136
10/01/2019,1,130.41,131.53,137.44
10/01/2019,2,110.01,110.83,116.85
10/01/2019,3,138.49,139.52,145.16
10/01/2019,4,130.4,131.37,135.44
10/01/2019,5,138.77,139.8,145.6
10/01/2019,6,112.93,113.77,117.98
10/01/2019,7,112.76,113.6,117.98
10/01/2019,8,109.37,110.09,115.42
10/01/2019,9,111.78,112.61,118.05
10/01/2019,10,118.16,119.05,125.01
10/01/2019,11,109.58,110.4,117.12
10/01/2019,12,137.6,138.78,147.91
10/01/2019,13,148.05,149,155.55
10/01/2019,14,139.15,140.43,148.95
10/01/2019,15,137,141.5,149.93
10/01/2019,16,125.55,130.32,141.01
10/01/2019,17,147.05,152.64,174.27
10/01/2019,18,150,155.79,178.04
10/01/2019,19,150,155.79,177.82
10/01/2019,20,140,145.41,165.88
10/01/2019,21,127.76,132.63,150.28
10/01/2019,22,144.54,150.03,170.18
10/01/2019,23,145.84,151.38,171.77
10/01/2019,24,146.56,152.13,172.62
10/01/2019,25,149.84,155.54,176.49
10/01/2019,26,158.88,164.91,187.4
10/01/2019,27,158.89,164.92,187.49
10/01/2019,28,158.02,163.25,185.29
10/01/2019,29,160.39,165.67,188.3
10/01/2019,30,160.31,165.84,188.23
10/01/2019,31,177.39,184.22,209.2
10/01/2019,32,160.2,166.28,188.78
10/01/2019,33,159.01,164.86,186.57
10/01/2019,34,184.09,191.07,211.44
10/01/2019,35,183.45,190.41,210.76
10/01/2019,36,160.31,166.4,186.96
10/01/2019,37,144.84,149.61,164.23
10/01/2019,38,146.59,151.41,168.59
10/01/2019,39,154.08,159.15,174.02
10/01/2019,40,152.79,157.8,171.25
10/01/2019,41,152.79,157.8,169.31
10/01/2019,42,155.02,161,174.87
10/01/2019,43,157.49,163.56,175.68
10/01/2019,44,158.96,165.08,179.32
10/01/2019,45,195,201.41,217.54
10/01/2019,46,191.97,198.27,209.37
10/01/2019,47,157.03,162.19,172.54
10/01/2019,48,144,145.24,153.98
11/01/2019,1,130.41,131.53,137.25
11/01/2019,2,112.13,112.96,119.86
11/01/2019,3,81.76,81.19,83.44
11/01/2019,4,106.49,115.4,117.98
11/01/2019,5,109.37,118.21,120.09
11/01/2019,6,139.79,109.32,111.89
11/01/2019,7,135.85,109.3,111.89
11/01/2019,8,135.58,77.97,79.81
11/01/2019,9,85.43,77.89,79.73
11/01/2019,10,71.39,70.9,72.8
11/01/2019,11,107.05,107.85,110.75
11/01/2019,12,104.49,105.39,111.93
11/01/2019,13,130.05,131.18,134.13
11/01/2019,14,121.64,125.63,133.17
11/01/2019,15,132.67,137.95,146.01
11/01/2019,16,126.98,132.05,142.98
11/01/2019,17,131,136.23,152.25
11/01/2019,18,131,136.23,152.72
11/01/2019,19,131,136.18,153.48
11/01/2019,20,131,136.1,154
11/01/2019,21,126.83,134.35,152.4
11/01/2019,22,140.5,148.83,169.32
11/01/2019,23,154.33,163.48,185.77
11/01/2019,24,154.33,163.48,180.75
11/01/2019,25,154.36,163.51,183.61
11/01/2019,26,139.37,147.63,164.5
11/01/2019,27,152,157.88,174.29
11/01/2019,28,152.14,158.03,174.1
11/01/2019,29,155.17,161.06,177.11
11/01/2019,30,160.52,166.73,184.12
11/01/2019,31,157.31,166.64,185.76
11/01/2019,32,160.74,170.27,192.23
11/01/2019,33,160.74,170.27,191.43
11/01/2019,34,157.68,167.03,184.54
11/01/2019,35,155.59,164.82,185.41
11/01/2019,36,161.02,170.56,187.92
11/01/2019,37,186.9,197.98,216.64
11/01/2019,38,187.13,198.22,214.81
11/01/2019,39,188.43,199.6,214.25
11/01/2019,40,192,203.38,219.69
11/01/2019,41,158.69,168.1,179.96
11/01/2019,42,187.33,198.43,214.22
11/01/2019,43,160,169.48,181.63
11/01/2019,44,152.92,158.85,171.72
11/01/2019,45,156.49,162.68,172.42
11/01/2019,46,142.9,147.6,156.21
11/01/2019,47,137.44,141.96,149.34
11/01/2019,48,137.88,142.41,147.28
12/01/2019,1,143.35,148.06,154.69
12/01/2019,2,144.28,149.02,155.18
12/01/2019,3,146.27,151.07,155.41
12/01/2019,4,145.51,150.29,154.95
12/01/2019,5,164.74,166.15,170.74
12/01/2019,6,154.66,155.98,159.48
12/01/2019,7,147.23,148.49,151.25
12/01/2019,8,147,148.26,150.8
12/01/2019,9,146.33,147.58,149.52
12/01/2019,10,146.33,147.58,149.52
12/01/2019,11,149.24,154.14,159.85
12/01/2019,12,151.59,156.57,162.38
12/01/2019,13,151.98,156.98,165.56
12/01/2019,14,148.71,154.34,163.87
12/01/2019,15,140.72,146.06,154.11
12/01/2019,16,131.67,136.67,145.61
12/01/2019,17,130.87,136.46,145.68
12/01/2019,18,117.13,124.07,132.69
12/01/2019,19,120.96,128.13,138.35
12/01/2019,20,130.95,138.71,149.82
12/01/2019,21,136.91,145.14,157.66
12/01/2019,22,121.4,128.6,138.32
12/01/2019,23,130,137.45,148.81
12/01/2019,24,121.28,127.68,138.18
12/01/2019,25,122.16,126.91,137.36
12/01/2019,26,122.09,129.32,138.56
12/01/2019,27,122.44,129.7,139.72
12/01/2019,28,122.05,126.79,134.14
12/01/2019,29,107.44,111.63,117.98
12/01/2019,30,109.21,113.46,119.6
12/01/2019,31,113.46,117.87,124.59
12/01/2019,32,106.36,110.5,117.87
12/01/2019,33,121.92,126.65,138.01
12/01/2019,34,106.46,110.61,117.8
12/01/2019,35,106.39,110.54,117.83
12/01/2019,36,122.18,126.92,135.38
12/01/2019,37,121.08,125.68,134.03
12/01/2019,38,121.21,125.91,134.57
12/01/2019,39,125.07,129.94,138.69
12/01/2019,40,117.18,121.73,128.52
12/01/2019,41,124.57,129.42,136.19
12/01/2019,42,116.58,120.51,126.74
12/01/2019,43,126.24,131.15,138.03
12/01/2019,44,117.05,121.61,127.89
12/01/2019,45,129.85,134.12,141.06
12/01/2019,46,131.05,135.35,141.16
12/01/2019,47,115.38,119.17,122
12/01/2019,48,89.18,90.09,91.92
13/01/2019,1,129.49,130.73,133.79
13/01/2019,2,113.89,114.93,118.2
13/01/2019,3,131.51,132.67,132.97
13/01/2019,4,129.31,130.44,130.51
13/01/2019,5,116.98,118,118.25
13/01/2019,6,116.43,117.45,118.26
13/01/2019,7,91.67,92.47,93.06
13/01/2019,8,89.12,89.9,91.73
13/01/2019,9,89.11,89.9,91.73
13/01/2019,10,89.5,90.28,91.73
13/01/2019,11,108.62,109.57,110.75
13/01/2019,12,116.7,117.83,118.25
13/01/2019,13,114.63,115.62,120.58
13/01/2019,14,120.66,131.5,136.93
13/01/2019,15,125.98,130.12,135.4
13/01/2019,16,107.91,111.46,116.11
13/01/2019,17,108.01,111.55,117.1
13/01/2019,18,113.06,117.34,123.65
13/01/2019,19,112.55,116.95,124.37
13/01/2019,20,143.74,149.31,158.81
13/01/2019,21,134.51,139.71,149.54
13/01/2019,22,137.53,142.86,151.8
13/01/2019,23,139.04,143.6,153.61
13/01/2019,24,133.44,137.82,147.79
13/01/2019,25,129,133.24,142.92
13/01/2019,26,129,133.24,142.01
13/01/2019,27,129,133.24,142.06
13/01/2019,28,129.73,133.99,143.01
13/01/2019,29,127.82,132.02,140.81
13/01/2019,30,115.9,119.71,127.64
13/01/2019,31,129,133.24,142.19
13/01/2019,32,130.4,134.81,144.59
13/01/2019,33,131.01,135.32,142.96
13/01/2019,34,133.06,137.43,145.19
13/01/2019,35,129.37,133.62,141.28
13/01/2019,36,133.88,138.27,146.19
13/01/2019,37,133.92,138.31,146.18
13/01/2019,38,133.87,138.27,146.22
13/01/2019,39,133,137.37,145.18
13/01/2019,40,114.71,118.47,125.5
13/01/2019,41,115.93,119.74,126.01
13/01/2019,42,134,138.4,145.37
13/01/2019,43,134,138.4,145.79
13/01/2019,44,117.55,118.67,125.94
13/01/2019,45,110.71,111.67,118.41
13/01/2019,46,114.86,115.85,122.74
13/01/2019,47,85.53,86.27,91.69
13/01/2019,48,85.54,86.27,91.63
14/01/2019,1,89.48,87.48,91.58
14/01/2019,2,87.13,87.83,91.58
14/01/2019,3,114.25,88.9,91.55
14/01/2019,4,90.05,88.9,91.55
14/01/2019,5,96.02,95.35,97.51
14/01/2019,6,114.38,113.59,115.87
14/01/2019,7,114.46,113.67,115.99
14/01/2019,8,114.89,115.75,118.11
14/01/2019,9,114.74,115.59,118.05
14/01/2019,10,134.57,135.57,138.45
14/01/2019,11,114.73,115.74,118.76
14/01/2019,12,114.73,115.75,120.65
14/01/2019,13,120.95,124.92,131.4
14/01/2019,14,133.05,137.42,145.5
14/01/2019,15,130.23,135.3,143.61
14/01/2019,16,132.18,137.21,151.44
14/01/2019,17,124.82,129.57,143.04
14/01/2019,18,142.63,148.17,163.28
14/01/2019,19,145.01,153.61,169.38
14/01/2019,20,142.7,148.24,163.47
14/01/2019,21,137.34,145.48,160.62
14/01/2019,22,125.91,133.37,148.61
14/01/2019,23,124.91,132.31,147.63
14/01/2019,24,124.29,131.66,146.65
14/01/2019,25,93.31,98.84,109.97
14/01/2019,26,103.34,107.39,118.28
14/01/2019,27,116.24,120.67,132.43
14/01/2019,28,109.01,113.27,124.95
14/01/2019,29,91.1,94.69,104.83
14/01/2019,30,116.91,120.75,132.39
14/01/2019,31,116.91,120.75,132.43
14/01/2019,32,125.56,129.68,142.24
14/01/2019,33,103.45,107.54,118.29
14/01/2019,34,86.3,89.71,99.62
14/01/2019,35,78.24,81.37,89.46
14/01/2019,36,79.87,83.03,91.28
14/01/2019,37,79.87,83.03,90.76
14/01/2019,38,91.87,94.88,103.19
14/01/2019,39,91.91,94.92,103.18
14/01/2019,40,85.28,88.08,95.14
14/01/2019,41,90.6,93.58,101.03
14/01/2019,42,84.82,85.57,91.93
14/01/2019,43,108.25,110.07,118.06
14/01/2019,44,106.08,107.01,112.9
14/01/2019,45,90.16,90.95,95.95
14/01/2019,46,84,84.63,86.7
14/01/2019,47,89.62,89.05,90.16
14/01/2019,48,89.22,79.3,80.26
15/01/2019,1,60,60.45,63.9
15/01/2019,2,60,60.45,63.32
